iter	Logloss
0	0.685655786
1	0.6758383893
2	0.6674199819
3	0.6614743208
4	0.6514434887
5	0.643873975
6	0.635179856
7	0.6252137241
8	0.6193683742
9	0.613510038
10	0.6067048057
11	0.6000735308
12	0.5942208509
13	0.5865255153
14	0.5804059545
15	0.5738790309
16	0.56650356
17	0.5623834705
18	0.5549924161
19	0.5484385966
20	0.5415834395
21	0.534849083
22	0.5271422618
23	0.5223240341
24	0.514922937
25	0.5081921589
26	0.5042642075
27	0.499233006
28	0.4947303718
29	0.4906368896
30	0.4872042609
31	0.481613152
32	0.4777406084
33	0.4722048496
34	0.4653941919
35	0.4618143862
36	0.4597503301
37	0.4558836159
38	0.4525239985
39	0.4488294813
40	0.4441679249
41	0.4392766858
42	0.4339184051
43	0.431307197
44	0.4271166069
45	0.4234880885
46	0.4184854277
47	0.4141616569
48	0.4109007923
49	0.4068621985
50	0.4047837133
51	0.3991759244
52	0.3959330674
53	0.3930486873
