iter	Passed	Remaining
0	5	282
1	10	262
2	14	251
3	19	243
4	24	238
5	28	231
6	33	225
7	38	221
8	43	215
9	47	210
10	52	205
11	57	200
12	62	195
13	66	190
14	71	185
15	76	180
16	80	176
17	85	171
18	90	166
19	95	161
20	99	157
21	104	152
22	109	147
23	114	142
24	119	138
25	123	133
26	128	128
27	133	123
28	137	118
29	142	114
30	147	109
31	152	104
32	156	99
33	161	94
34	166	90
35	170	85
36	175	80
37	180	75
38	184	71
39	189	66
40	194	61
41	198	56
42	203	52
43	208	47
44	213	42
45	217	37
46	222	33
47	227	28
48	232	23
49	236	18
50	241	14
51	246	9
52	250	4
53	255	0
