iter	Passed	Remaining
0	25	50013
1	48	48908
2	73	48656
3	96	48157
4	120	48164
5	144	48055
6	169	48229
7	193	48087
8	216	48002
9	240	47802
10	263	47604
11	286	47515
12	310	47512
13	334	47423
14	358	47402
15	381	47345
16	405	47296
17	428	47224
18	452	47175
19	476	47161
20	499	47098
21	523	47025
22	546	46981
23	570	46980
24	594	46982
25	618	46957
26	641	46908
27	665	46870
28	688	46819
29	712	46771
30	735	46728
31	758	46673
32	782	46625
33	805	46598
34	829	46560
35	853	46543
36	876	46512
37	900	46490
38	923	46455
39	947	46424
40	971	46410
41	994	46385
42	1018	46367
43	1042	46326
44	1065	46276
45	1088	46247
46	1112	46223
47	1130	45969
48	1153	45937
49	1177	45929
50	1200	45887
51	1224	45858
52	1247	45828
53	1270	45799
54	1294	45781
55	1318	45768
56	1342	45751
57	1365	45713
58	1388	45686
59	1412	45671
60	1436	45660
61	1459	45633
62	1483	45612
63	1507	45587
64	1530	45559
65	1553	45535
66	1577	45505
67	1600	45482
68	1624	45450
69	1647	45422
70	1671	45402
71	1694	45385
72	1717	45348
73	1741	45316
74	1764	45286
75	1787	45260
76	1811	45249
77	1835	45232
78	1858	45199
79	1882	45181
80	1907	45179
81	1930	45147
82	1953	45129
83	1977	45110
84	2001	45102
85	2025	45084
86	2049	45063
87	2072	45032
88	2096	45007
89	2120	44995
90	2144	44990
91	2168	44970
92	2192	44959
93	2215	44924
94	2238	44889
95	2261	44860
96	2285	44840
97	2308	44810
98	2331	44778
99	2355	44745
100	2378	44712
101	2402	44701
102	2425	44671
103	2448	44643
104	2472	44624
105	2496	44600
106	2519	44575
107	2543	44552
108	2567	44538
109	2590	44517
110	2614	44499
111	2638	44477
112	2662	44464
113	2685	44436
114	2709	44416
115	2733	44396
116	2757	44375
117	2780	44350
118	2804	44336
119	2828	44310
120	2851	44281
121	2875	44268
122	2899	44240
123	2922	44219
124	2946	44198
125	2970	44173
126	2994	44157
127	3018	44139
128	3041	44108
129	3064	44081
130	3088	44059
131	3111	44032
132	3135	44015
133	3160	44008
134	3184	43992
135	3207	43964
136	3231	43937
137	3254	43911
138	3278	43890
139	3301	43868
140	3325	43850
141	3348	43817
142	3371	43788
143	3395	43761
144	3418	43731
145	3441	43707
146	3466	43692
147	3489	43667
148	3513	43648
149	3537	43626
150	3560	43603
151	3584	43577
152	3607	43548
153	3630	43522
154	3653	43492
155	3677	43470
156	3701	43449
157	3724	43423
158	3748	43399
159	3772	43380
160	3795	43356
161	3820	43341
162	3843	43319
163	3856	43176
164	3880	43152
165	3904	43133
166	3928	43115
167	3951	43091
168	3975	43068
169	3998	43042
170	4021	43018
171	4045	42996
172	4068	42968
173	4092	42945
174	4115	42921
175	4138	42894
176	4162	42875
177	4186	42849
178	4209	42819
