iter	Passed	Remaining
0	5	1775
1	11	1687
2	16	1634
3	21	1612
4	26	1584
5	32	1572
6	37	1563
7	42	1556
8	48	1552
9	53	1542
10	58	1536
11	63	1530
12	68	1522
13	74	1518
14	79	1510
15	84	1503
16	89	1497
17	95	1493
18	100	1486
19	105	1479
20	111	1475
21	116	1470
22	121	1464
23	126	1459
24	132	1453
25	137	1447
26	142	1441
27	147	1433
28	152	1426
29	157	1420
30	162	1412
31	167	1406
32	173	1402
33	178	1396
34	183	1391
35	188	1384
36	194	1379
37	199	1376
38	204	1371
39	210	1365
40	215	1360
41	220	1355
42	226	1350
43	231	1346
44	236	1342
45	243	1343
46	248	1337
47	253	1332
48	259	1327
49	264	1324
50	270	1319
51	275	1313
52	280	1307
53	285	1301
54	290	1296
55	296	1291
56	301	1286
57	307	1281
58	312	1275
59	317	1270
60	322	1262
61	327	1258
62	333	1253
63	338	1247
64	343	1242
65	348	1236
