iter	Passed	Remaining
0	9	19117
1	19	19532
2	28	19241
3	38	19281
4	46	18400
5	54	18190
6	63	17982
7	72	18003
8	79	17631
9	88	17599
10	97	17556
11	105	17495
12	114	17435
13	123	17523
14	130	17291
15	138	17219
16	146	17145
17	155	17104
18	162	16978
19	170	16897
20	178	16778
21	185	16695
22	193	16620
23	202	16655
24	210	16639
25	219	16691
26	227	16632
27	235	16556
28	242	16465
29	249	16388
30	256	16293
31	263	16212
32	271	16190
33	279	16151
34	286	16081
35	293	16000
36	301	15992
37	308	15952
38	316	15915
39	323	15856
40	330	15792
41	337	15747
42	344	15681
43	353	15698
44	361	15687
45	368	15655
46	376	15627
47	383	15603
48	390	15562
49	398	15543
50	407	15567
51	417	15632
52	426	15664
53	434	15645
54	441	15630
55	449	15606
56	456	15570
57	465	15572
58	472	15546
59	481	15553
60	488	15515
61	496	15509
62	503	15481
63	510	15441
64	518	15431
65	525	15402
66	533	15381
67	541	15373
68	550	15418
69	559	15426
70	567	15406
71	574	15375
72	581	15352
73	588	15319
74	596	15297
75	603	15290
76	612	15300
77	620	15284
78	627	15256
79	635	15247
80	643	15246
81	650	15226
82	658	15203
83	665	15182
84	672	15159
85	681	15160
86	688	15148
87	696	15130
88	703	15108
89	710	15076
90	717	15058
91	726	15076
92	751	15408
93	764	15499
94	772	15482
95	779	15457
96	786	15423
97	793	15394
98	801	15386
99	810	15395
100	818	15388
101	826	15377
102	832	15339
103	841	15336
104	850	15347
105	860	15374
106	870	15398
107	880	15417
108	887	15402
109	895	15382
110	902	15364
111	910	15343
112	918	15336
113	926	15325
114	934	15310
115	941	15293
116	949	15279
117	957	15267
118	965	15260
119	973	15252
120	981	15241
121	989	15224
122	996	15211
123	1004	15195
124	1011	15174
125	1018	15153
126	1026	15141
127	1033	15118
128	1040	15094
129	1047	15069
130	1054	15044
131	1076	15236
132	1083	15206
133	1089	15177
134	1096	15152
135	1104	15133
136	1110	15106
137	1118	15093
138	1126	15083
139	1134	15067
140	1141	15044
141	1147	15019
142	1154	14997
143	1161	14971
144	1169	14955
145	1176	14937
146	1183	14914
147	1189	14889
148	1197	14871
149	1203	14845
150	1210	14827
151	1218	14808
152	1225	14788
153	1234	14798
154	1242	14793
155	1250	14778
156	1258	14768
157	1266	14767
158	1274	14755
159	1281	14739
160	1289	14724
